ssid,bssid,dBm,ntp
b'ASUS',18:31:bf:3d:e0:30,-30,1569651432.202,1
b'ASUS',18:31:bf:3d:e0:30,-32,1569651432.490,1
b'ASUS',18:31:bf:3d:e0:30,-38,1569651432.799,1
b'ASUS',18:31:bf:3d:e0:30,-32,1569651433.209,2
b'ASUS',18:31:bf:3d:e0:30,-34,1569651434.261,5
b'ASUS',18:31:bf:3d:e0:30,-30,1569651434.914,7
b'ASUS',18:31:bf:3d:e0:30,-35,1569651435.049,7
b'197-4',30:b4:9e:83:53:69,-82,1569651435.114,7
b'197-4',30:b4:9e:83:53:69,-80,1569651435.336,8
b'ASUS',18:31:bf:3d:e0:30,-84,1569651436.957,1
b'ASUS',18:31:bf:3d:e0:30,-42,1569651437.613,2
b'ASUS',18:31:bf:3d:e0:30,-32,1569651437.723,3
b'ASUS',18:31:bf:3d:e0:30,-36,1569651439.475,7
b'ASUS',18:31:bf:3d:e0:30,-31,1569651440.184,9
b'ASUS',18:31:bf:3d:e0:30,-31,1569651440.284,9
b'197-4',30:b4:9e:83:53:69,-79,1569651440.348,9
b'197-4',30:b4:9e:83:53:69,-80,1569651440.411,9
b'ASUS',18:31:bf:3d:e0:30,-72,1569651440.457,9
b'ASUS',18:31:bf:3d:e0:30,-82,1569651440.501,9
b'ASUS',18:31:bf:3d:e0:30,-75,1569651440.585,10
b'ASUS',18:31:bf:3d:e0:30,-35,1569651442.119,3
b'ASUS',18:31:bf:3d:e0:30,-34,1569651443.749,6
b'ASUS',18:31:bf:3d:e0:30,-32,1569651444.564,8
b'197-4',30:b4:9e:83:53:69,-80,1569651444.671,9
b'197-4',30:b4:9e:83:53:69,-86,1569651444.744,9
b'197-4',30:b4:9e:83:53:69,-80,1569651444.818,9
b'197-4',30:b4:9e:83:53:69,-84,1569651444.892,9
b'197-4',30:b4:9e:83:53:69,-79,1569651444.973,9
b'ASUS',18:31:bf:3d:e0:30,-61,1569651445.036,10
b'ASUS',18:31:bf:3d:e0:30,-85,1569651445.805,11
b'ASUS',18:31:bf:3d:e0:30,-31,1569651446.650,3
b'ASUS',18:31:bf:3d:e0:30,-31,1569651447.509,5
b'ASUS',18:31:bf:3d:e0:30,-31,1569651448.046,6
b'197-4',30:b4:9e:83:53:69,-79,1569651448.112,6
b'197-4',30:b4:9e:83:53:69,-79,1569651448.350,6
b'197-4',30:b4:9e:83:53:69,-78,1569651448.457,6
b'197-4',30:b4:9e:83:53:69,-79,1569651448.556,6
b'197-4',30:b4:9e:83:53:69,-79,1569651448.661,6
b'197-4',30:b4:9e:83:53:69,-78,1569651448.765,6
b'197-4',30:b4:9e:83:53:69,-81,1569651448.864,6
b'197-4',30:b4:9e:83:53:69,-79,1569651448.956,6
b'197-4',30:b4:9e:83:53:69,-80,1569651449.061,6
b'197-4',30:b4:9e:83:53:69,-81,1569651449.163,6
b'197-4',30:b4:9e:83:53:69,-78,1569651449.264,6
b'197-4',30:b4:9e:83:53:69,-79,1569651449.370,6
b'197-4',30:b4:9e:83:53:69,-81,1569651449.468,6
b'197-4',30:b4:9e:83:53:69,-79,1569651449.572,6
b'197-4',30:b4:9e:83:53:69,-80,1569651449.676,6
b'197-4',30:b4:9e:83:53:69,-78,1569651449.776,6
b'197-4',30:b4:9e:83:53:69,-79,1569651449.876,6
b'197-4',30:b4:9e:83:53:69,-79,1569651449.972,6
b'197-4',30:b4:9e:83:53:69,-79,1569651450.070,6
b'197-4',30:b4:9e:83:53:69,-79,1569651450.172,6
b'197-4',30:b4:9e:83:53:69,-80,1569651450.279,6
b'197-4',30:b4:9e:83:53:69,-79,1569651450.378,6
b'197-4',30:b4:9e:83:53:69,-79,1569651450.479,6
b'197-4',30:b4:9e:83:53:69,-80,1569651450.584,6
b'197-4',30:b4:9e:83:53:69,-79,1569651450.689,6
