TimeNow,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magnet_X,Magnet_Y,Magnet_Z,Yaw,Roll,Pitch
21:59:40,-0.12,-4.51,8.17,-0.125,-0.0625,0.0,-57.0,49.0,-23.5,1.43,-0.68,28.87
21:59:48,-0.13,-4.51,8.15,-0.0625,-0.0625,-0.0625,-56.6875,48.25,-22.25,1.43,-0.68,28.87
21:59:49,-0.14,-4.51,8.19,0.3125,0.1875,0.4375,-57.75,49.6875,-24.375,1.43,-0.68,28.87
21:59:49,-0.12,-4.51,8.19,0.1875,0.0,-0.25,-59.5625,49.375,-22.6875,1.43,-0.68,28.87
21:59:50,-0.13,-4.51,8.15,-0.1875,-0.375,-0.375,-58.0625,48.5625,-24.375,1.43,-0.68,28.87
21:59:51,-0.13,-4.51,8.18,0.1875,0.125,0.125,-58.875,48.5625,-23.0625,1.43,-0.68,28.87
21:59:51,-0.13,-4.52,8.15,-0.0625,0.0,0.125,-57.375,49.6875,-24.375,1.43,-0.68,28.87
21:59:52,-0.12,-4.54,8.17,0.0,0.3125,0.0625,-59.5625,48.5625,-24.375,1.43,-0.68,28.87
21:59:52,-0.12,-4.53,8.15,0.125,0.0625,-0.0625,-58.0625,49.375,-24.375,1.43,-0.68,28.87
21:59:53,-0.12,-4.54,8.16,0.0,-0.0625,-0.1875,-58.0625,49.0,-22.25,1.43,-0.68,28.87
21:59:53,-0.12,-4.52,8.14,-0.0625,0.0,-0.125,-58.5,50.375,-22.6875,1.43,-0.68,28.87
21:59:54,-0.12,-4.52,8.16,-0.0625,0.0,0.1875,-58.5,48.5625,-24.75,1.43,-0.68,28.87
21:59:55,-0.13,-4.51,8.18,0.1875,-0.0625,0.1875,-58.875,48.25,-24.375,1.43,-0.68,28.87
21:59:55,-0.12,-4.53,8.15,0.125,0.0,-0.25,-58.0625,48.5625,-22.6875,1.43,-0.68,28.87
21:59:56,-0.12,-4.53,8.14,-0.25,0.0,-0.0625,-57.75,48.5625,-23.0625,1.43,-0.68,28.87
21:59:56,-0.12,-4.5,8.17,-0.0625,0.0,0.0,-59.875,48.25,-23.5625,1.43,-0.68,28.87
21:59:57,-0.12,-4.5,8.17,0.0625,0.125,-0.0625,-57.0,48.25,-22.6875,1.43,-0.68,28.87
21:59:58,-0.13,-4.52,8.16,0.125,0.1875,0.0,-57.75,48.5625,-23.0625,1.43,-0.68,28.87
21:59:58,-0.09,-4.52,8.17,0.0,0.0,0.0625,-57.375,49.0,-22.6875,1.43,-0.68,28.87
21:59:59,-0.13,-4.51,8.15,0.0,0.0,-0.0625,-59.25,48.25,-24.375,1.43,-0.68,28.87
21:59:59,-0.12,-4.52,8.16,0.0,0.1875,-0.0625,-59.25,49.6875,-23.875,1.43,-0.68,28.87
22:00:00,-0.12,-4.54,8.17,0.1875,0.25,-0.0625,-57.75,49.0,-23.5625,1.43,-0.68,28.87
22:00:00,-0.12,-4.54,8.14,0.1875,-0.125,-0.0625,-58.0625,50.375,-23.5,1.43,-0.68,28.87
22:00:01,-0.13,-4.52,8.14,-0.0625,0.0,0.0625,-58.0625,50.0625,-24.375,1.43,-0.68,28.87
22:00:02,-0.13,-4.53,8.2,0.0625,0.0625,-0.125,-59.875,48.5625,-22.25,1.43,-0.68,28.87
22:00:02,-0.12,-4.52,8.15,-0.0625,-0.0625,0.125,-59.5625,49.0,-23.875,1.43,-0.68,28.87
22:00:03,-0.11,-4.52,8.17,0.0,0.0,0.1875,-57.75,50.0625,-23.5625,1.43,-0.68,28.87
22:00:03,-0.14,-4.51,8.15,-0.0625,0.0,-0.0625,-58.5,49.375,-24.375,1.43,-0.68,28.87
22:00:04,-0.11,-4.52,8.13,0.0,-0.0625,-0.25,-57.75,48.25,-23.0625,1.43,-0.68,28.87
22:00:05,-0.12,-4.52,8.16,-0.0625,-0.1875,0.0625,-59.875,49.375,-22.6875,1.43,-0.68,28.87
22:00:05,-0.12,-4.51,8.18,0.0625,0.0,-0.0625,-58.0625,48.5625,-24.75,1.43,-0.68,28.87
22:00:06,-0.12,-4.5,8.19,0.1875,0.25,0.125,-57.375,48.5625,-25.1875,1.43,-0.68,28.87
22:00:06,-0.12,-4.51,8.16,-0.0625,-0.0625,0.0,-57.75,48.25,-23.875,1.43,-0.68,28.87
22:00:07,-0.1,-4.52,8.15,0.0,-0.0625,0.0625,-59.5625,50.0625,-22.6875,1.43,-0.68,28.87
22:00:07,-0.12,-4.53,8.18,-0.25,0.125,-0.0625,-57.75,48.5625,-23.5625,1.43,-0.68,28.87
22:00:08,-0.13,-4.51,8.16,0.0,0.3125,0.125,-59.875,48.25,-23.0625,1.43,-0.68,28.87
22:00:09,-0.13,-4.49,8.13,0.0,-0.0625,0.1875,-57.375,50.0625,-23.875,1.43,-0.68,28.87
22:00:09,-0.11,-4.51,8.17,-0.0625,-0.25,-0.0625,-59.5625,49.0,-22.6875,1.43,-0.68,28.87
22:00:10,-0.12,-4.54,8.16,0.0,0.0625,0.0,-58.0625,48.5625,-23.875,1.43,-0.68,28.87
22:00:10,-0.13,-4.52,8.13,0.0625,0.1875,0.0,-58.875,49.0,-23.0625,1.43,-0.68,28.87
22:00:11,-0.13,-4.52,8.16,0.0,-0.0625,0.0,-58.0625,48.25,-23.875,1.43,-0.68,28.87
22:00:12,-0.13,-4.53,8.16,-0.0625,-0.3125,0.0,-58.0625,48.25,-23.5625,1.43,-0.68,28.87
22:00:12,-0.13,-4.53,8.16,0.0625,0.0,-0.125,-58.5,48.5625,-23.0625,1.43,-0.68,28.87
22:00:13,-0.1,-4.5,8.17,-0.125,0.0625,0.0625,-58.875,47.875,-23.875,1.43,-0.68,28.87
22:00:13,-0.09,-4.52,8.16,-0.125,0.0,-0.0625,-58.875,48.25,-23.5,1.43,-0.68,28.87
22:00:14,-0.12,-4.52,8.14,0.0625,0.125,0.125,-59.25,49.375,-23.875,1.43,-0.68,28.87
